id,prescriber_last_name,prescriber_first_name,drug_name,drug_cost
1033134812,ABOU-EZZI,PIERRE,NEXIUM,13091.14
1033134812,ABOU-EZZI,PIERRE,NIFEDICAL XL,193.78
1033134812,ABOU-EZZI,PIERRE,NOVOLOG,5033.15
1033134812,ABOU-EZZI,PIERRE,OMEPRAZOLE,3421.28
1033134812,ABOU-EZZI,PIERRE,ONDANSETRON HCL,440.69
1033134812,ABOU-EZZI,PIERRE,OXYBUTYNIN CHLORIDE,748.46
1033134812,ABOU-EZZI,PIERRE,OXYBUTYNIN CHLORIDE ER,1024.25
1033134812,ABOU-EZZI,PIERRE,OXYCODONE HCL,1426.36
1033134812,ABOU-EZZI,PIERRE,OXYCODONE-ACETAMINOPHEN,2048.36
1033134812,ABOU-EZZI,PIERRE,PANTOPRAZOLE SODIUM,1511.71
1033134812,ABOU-EZZI,PIERRE,PAROXETINE HCL,597.45
1033134812,ABOU-EZZI,PIERRE,PHENOBARBITAL,239.02
1033134812,ABOU-EZZI,PIERRE,POTASSIUM CHLORIDE,1858.79
1033134812,ABOU-EZZI,PIERRE,PRAVASTATIN SODIUM,1085.61
1033134812,ABOU-EZZI,PIERRE,PREDNISONE,195.53
1033134812,ABOU-EZZI,PIERRE,PROAIR HFA,3499.99
1033134812,ABOU-EZZI,PIERRE,PROPRANOLOL HCL,342.05
1033134812,ABOU-EZZI,PIERRE,RALOXIFENE HCL,2912.2
1033134812,ABOU-EZZI,PIERRE,RANITIDINE HCL,60.11
1033134812,ABOU-EZZI,PIERRE,SERTRALINE HCL,323.76
1033134812,ABOU-EZZI,PIERRE,SIMVASTATIN,2993.17
1033134812,ABOU-EZZI,PIERRE,SPIRIVA,5608.68
1033134812,ABOU-EZZI,PIERRE,SPIRONOLACTONE,256.39
1033134812,ABOU-EZZI,PIERRE,SYMBICORT,8484.9
1033134812,ABOU-EZZI,PIERRE,SYNTHROID,654.84
1033134812,ABOU-EZZI,PIERRE,TAMSULOSIN HCL,1252.26
1033134812,ABOU-EZZI,PIERRE,TIZANIDINE HCL,78.0
1033134812,ABOU-EZZI,PIERRE,TRAMADOL HCL,320.44
1033134812,ABOU-EZZI,PIERRE,TRAZODONE HCL,527.0
1033134812,ABOU-EZZI,PIERRE,TRIAMTERENE-HYDROCHLOROTHIAZID,811.62
1033134812,ABOU-EZZI,PIERRE,VALSARTAN,2248.3
1033134812,ABOU-EZZI,PIERRE,VALSARTAN-HYDROCHLOROTHIAZIDE,1130.58
1033134812,ABOU-EZZI,PIERRE,VERAPAMIL ER,400.1
1033134812,ABOU-EZZI,PIERRE,WARFARIN SODIUM,2135.03
1033134812,ABOU-EZZI,PIERRE,ZETIA,17255.63
1033134812,ABOU-EZZI,PIERRE,ZOLPIDEM TARTRATE,485.42
1164579389,ABOU-EZZI,RACHELLE,AMOXICILLIN,107.14
1164579389,ABOU-EZZI,RACHELLE,CHLORHEXIDINE GLUCONATE,61.96
1942241708,ABOU-FAYCAL,HALIM,AMOXICILLIN-CLAVULANATE POTASS,490.64
1942241708,ABOU-FAYCAL,HALIM,CEFADROXIL,9212.32
1942241708,ABOU-FAYCAL,HALIM,FLUCONAZOLE,628.38
1942241708,ABOU-FAYCAL,HALIM,LEVOFLOXACIN,626.06
1942241708,ABOU-FAYCAL,HALIM,METRONIDAZOLE,1044.95
1942241708,ABOU-FAYCAL,HALIM,MINOCYCLINE HCL,1705.83
1942241708,ABOU-FAYCAL,HALIM,NORVIR,5546.73
1942241708,ABOU-FAYCAL,HALIM,PREZISTA,16695.43
1942241708,ABOU-FAYCAL,HALIM,REYATAZ,20989.87
1942241708,ABOU-FAYCAL,HALIM,SULFAMETHOXAZOLE-TRIMETHOPRIM,132.17
1942241708,ABOU-FAYCAL,HALIM,TRUVADA,16513.65
1225095292,ABOU-FAYSSAL,NADA,AMPYRA,112220.73
1225095292,ABOU-FAYSSAL,NADA,AUBAGIO,92146.56
